,l_gx,l_gy,r_gx,r_gy
0,379.0,262.0,433.0,278.0
1,380.0,265.0,434.0,282.0
2,380.0,263.0,434.0,279.0
3,380.0,262.0,433.0,278.0
4,379.0,264.0,432.0,281.0
5,374.0,261.0,427.0,276.0
6,373.0,256.0,426.0,271.0
7,373.0,253.0,426.0,270.0
8,373.0,254.0,426.0,270.0
9,373.0,255.0,427.0,272.0
10,373.0,255.0,426.0,271.0
11,373.0,255.0,426.0,271.0
12,373.0,255.0,426.0,272.0
13,372.0,255.0,425.0,271.0
14,372.0,255.0,425.0,271.0
15,371.0,254.0,424.0,270.0
16,371.0,254.0,424.0,270.0
17,371.0,254.0,424.0,270.0
18,370.0,254.0,424.0,270.0
19,371.0,254.0,424.0,271.0
20,369.0,256.0,422.0,273.0
21,364.0,258.0,417.0,276.0
22,360.0,260.0,412.0,275.0
23,355.0,260.0,408.0,277.0
24,354.0,258.0,407.0,275.0
25,360.0,255.0,413.0,271.0
26,364.0,254.0,418.0,270.0
27,367.0,254.0,421.0,271.0
28,370.0,257.0,423.0,274.0
29,372.0,258.0,425.0,275.0
30,372.0,259.0,425.0,275.0
31,373.0,259.0,425.0,276.0
32,373.0,258.0,425.0,275.0
33,374.0,258.0,426.0,274.0
34,374.0,257.0,426.0,274.0
35,375.0,258.0,427.0,274.0
36,374.0,257.0,426.0,274.0
37,375.0,258.0,427.0,274.0
38,376.0,258.0,428.0,274.0
39,376.0,257.0,428.0,274.0
40,377.0,258.0,428.0,274.0
41,378.0,257.0,429.0,274.0
42,379.0,257.0,430.0,274.0
43,380.0,257.0,431.0,274.0
44,382.0,258.0,432.0,274.0
45,383.0,258.0,433.0,274.0
46,385.0,257.0,434.0,274.0
47,386.0,258.0,435.0,274.0
48,387.0,257.0,436.0,274.0
49,389.0,258.0,437.0,274.0
50,390.0,257.0,438.0,274.0
51,392.0,258.0,440.0,274.0
52,393.0,257.0,440.0,275.0
53,394.0,257.0,442.0,273.0
54,396.0,258.0,443.0,274.0
55,399.0,258.0,444.0,275.0
56,399.0,256.0,446.0,273.0
57,401.0,258.0,446.0,274.0
58,402.0,257.0,448.0,274.0
59,405.0,256.0,449.0,273.0
60,407.0,258.0,451.0,274.0
61,408.0,257.0,452.0,274.0
62,411.0,257.0,454.0,274.0
63,412.0,257.0,455.0,273.0
64,415.0,257.0,457.0,274.0
65,415.0,256.0,458.0,273.0
66,421.0,257.0,464.0,274.0
67,429.0,255.0,472.0,272.0
